,data points,Water flow,Weekday
0,24,4580.0,4
1,24,6450.0,5
2,24,9750.0,6
3,24,3970.0,7
4,24,290.0,1
5,24,870.0,2
6,24,830.0,3
7,24,710.0,4
8,24,1450.0,5
9,24,630.0,6
10,24,660.0,7
11,24,700.0,1
12,24,810.0,2
13,24,550.0,3
14,24,840.0,4
15,24,690.0,5
16,24,1120.0,6
17,24,1080.0,7
18,24,4590.0,1
19,24,6970.0,2
20,24,8930.0,3
21,24,9580.0,4
22,24,9000.0,5
23,24,10220.0,6
24,24,10050.0,7
25,24,11000.0,1
26,24,9490.0,2
27,24,10377.68,3
28,24,10120.0,4
29,24,9660.0,5
30,24,11340.0,6
31,24,9490.0,7
32,24,9710.0,1
33,24,10680.0,2
34,24,9583.84,3
35,24,10570.0,4
36,24,11070.0,5
37,24,8000.0,6
38,24,3450.0,7
39,24,2900.0,1
40,24,3600.0,2
41,24,5920.0,3
42,24,10100.0,4
43,24,10210.0,5
44,24,10990.0,6
45,24,10500.0,7
46,24,10500.0,1
47,24,10130.0,2
48,24,10490.0,3
49,24,10510.0,4
50,24,10820.0,5
51,24,11380.0,6
52,24,10110.0,7
53,24,9730.0,1
54,24,10130.0,2
55,24,9480.0,3
56,24,10460.0,4
57,24,10490.0,5
58,24,11390.0,6
59,24,9800.0,7
60,24,11140.0,1
61,24,10180.0,2
62,24,10890.0,3
63,24,10100.0,4
64,24,10900.0,5
65,24,11180.0,6
66,24,9870.0,7
67,24,11260.0,1
68,24,10750.0,2
69,24,11290.0,3
70,24,7500.0,4
71,24,2970.0,5
72,24,1880.0,6
73,24,1260.0,7
74,24,4290.0,1
75,24,9740.0,2
76,24,9715.0,3
77,24,9730.0,4
78,24,9350.0,5
79,24,11130.0,6
80,24,9480.0,7
81,24,10800.0,1
82,24,10350.0,2
83,24,10030.0,3
84,24,11250.0,4
85,24,11730.0,5
86,24,12390.0,6
87,24,11580.0,7
88,24,10980.0,1
89,24,10260.0,2
90,24,11120.0,3
91,24,11160.0,4
92,24,10430.0,5
93,24,11250.0,6
94,24,9540.0,7
95,24,9950.0,1
96,24,11230.0,2
97,24,10335.0,3
98,24,10360.0,4
99,24,10810.0,5
100,24,11270.0,6
101,24,10680.0,7
102,24,10500.0,1
103,24,10520.0,2
104,24,10040.0,3
105,24,11185.0,4
106,24,10720.0,5
107,24,12010.0,6
108,24,9320.0,7
109,24,8360.0,1
110,24,9090.0,2
111,24,11070.0,3
112,24,10640.0,4
113,24,10570.0,5
114,24,11800.0,6
115,24,12740.0,7
116,24,12950.0,1
117,24,10860.0,2
118,24,10710.0,3
119,24,10950.0,4
120,24,10570.0,5
121,24,10920.0,6
122,24,10310.0,7
