,data points,Water flow,Weekday
0,24,2120.0,4
1,24,2010.0,5
2,24,1550.0,6
3,24,430.0,7
4,24,1130.0,1
5,24,1800.0,2
6,24,470.0,3
7,24,770.0,4
8,24,1370.0,5
9,24,1070.0,6
10,24,400.0,7
11,24,470.0,1
12,24,740.0,2
13,24,600.0,3
14,24,530.0,4
15,24,670.0,5
16,24,970.0,6
17,24,1100.0,7
18,24,2920.0,1
19,24,4430.0,2
20,24,5520.0,3
21,24,5360.0,4
22,24,5910.0,5
23,24,5990.0,6
24,24,5810.0,7
25,24,6480.0,1
26,24,6150.0,2
27,24,6270.0,3
28,24,5830.0,4
29,24,5920.0,5
30,24,6235.0,6
31,24,5880.0,7
32,24,5690.0,1
33,24,6520.0,2
34,24,6080.0,3
35,24,6330.0,4
36,24,6110.0,5
37,24,5150.0,6
38,24,2460.0,7
39,24,2170.0,1
40,24,2580.0,2
41,24,3740.0,3
42,24,5370.0,4
43,24,5900.0,5
44,24,6540.0,6
45,24,6130.0,7
46,24,5850.0,1
47,24,5830.0,2
48,24,6280.0,3
49,24,5800.0,4
50,24,6040.0,5
51,24,6530.0,6
52,24,5900.0,7
53,24,5780.0,1
54,24,5800.0,2
55,24,5860.0,3
56,24,5760.0,4
57,24,6200.0,5
58,24,6385.0,6
59,24,6260.0,7
60,24,5650.0,1
61,24,6080.0,2
62,24,6320.0,3
63,24,5740.0,4
64,24,6490.0,5
65,24,6560.0,6
66,24,6210.0,7
67,24,6150.0,1
68,24,6110.0,2
69,24,6880.0,3
70,24,5650.0,4
71,24,1960.0,5
72,24,1150.0,6
73,24,1100.0,7
74,24,2730.0,1
75,24,5540.0,2
76,24,5875.0,3
77,24,5960.0,4
78,24,6210.0,5
79,24,6360.0,6
80,24,5910.0,7
81,24,6160.0,1
82,24,6010.0,2
83,24,6360.0,3
84,24,6430.0,4
85,24,6640.0,5
86,24,6940.0,6
87,24,7000.0,7
88,24,6500.0,1
89,24,6310.0,2
90,24,6400.0,3
91,24,6170.0,4
92,24,6380.0,5
93,24,6910.0,6
94,24,5650.0,7
95,24,5740.0,1
96,24,6400.0,2
97,24,6476.37,3
98,24,6040.0,4
99,24,6370.0,5
100,24,6560.0,6
101,24,5630.0,7
102,24,5910.0,1
103,24,6330.0,2
104,24,6650.0,3
105,24,6470.0,4
106,24,6330.0,5
107,24,7250.0,6
108,24,6470.0,7
109,24,5230.0,1
110,24,5790.0,2
111,24,5710.0,3
112,24,5890.0,4
113,24,6640.0,5
114,24,7670.0,6
115,24,6680.0,7
116,24,7290.0,1
117,24,6040.0,2
118,24,6470.0,3
119,24,5980.0,4
120,24,6510.0,5
121,24,6450.0,6
122,24,5700.0,7
