,data points,Water flow,Weekday
0,24,13152.0,4
1,24,15302.0,5
2,24,9387.0,6
3,24,9496.0,7
4,24,9157.0,1
5,24,14439.0,2
6,24,11660.0,3
7,24,8737.0,4
8,24,9136.0,5
9,24,7728.0,6
10,24,5883.0,7
11,24,7286.0,1
12,24,7343.0,2
13,24,6105.0,3
14,24,9333.0,4
15,24,10276.0,5
16,24,10850.0,6
17,24,7539.0,7
18,24,7504.0,1
19,24,10714.0,2
20,24,13858.0,3
21,24,14323.0,4
22,24,10516.0,5
23,24,11130.0,6
24,24,10357.0,7
25,24,14097.0,1
26,24,17891.0,2
27,24,22306.0,3
28,24,23709.0,4
29,24,16753.0,5
30,24,12545.5,6
31,24,14342.0,7
32,24,17962.0,1
33,24,20021.0,2
34,24,18692.0,3
35,24,21160.0,4
36,24,17928.0,5
37,24,15698.0,6
38,24,5627.0,7
39,24,2929.0,1
40,24,3105.0,2
41,24,8417.0,3
42,24,9978.0,4
43,24,15531.0,5
44,24,18114.0,6
45,24,17643.0,7
46,24,18881.0,1
47,24,19328.0,2
48,24,21074.0,3
49,24,18137.0,4
50,24,10318.0,5
51,24,14965.0,6
52,24,7653.0,7
53,24,5118.0,1
54,24,5520.0,2
55,24,7178.0,3
56,24,13910.0,4
57,24,5240.0,5
58,24,5461.0,6
59,24,4017.0,7
60,24,3637.0,1
61,24,5842.0,2
62,24,9437.0,3
63,24,6449.0,4
64,24,10671.0,5
65,24,5231.0,6
66,24,13041.0,7
67,24,17556.0,1
68,24,15740.0,2
69,24,15342.0,3
70,24,16191.0,4
71,24,11195.0,5
72,24,3195.0,6
73,24,3006.0,7
74,24,2751.0,1
75,24,4699.0,2
76,24,5229.0,3
77,24,5225.0,4
78,24,5336.0,5
79,24,5398.0,6
80,24,4303.0,7
81,24,3825.0,1
82,24,5029.0,2
83,24,4879.0,3
84,24,5249.0,4
85,24,4928.0,5
86,24,4690.0,6
87,24,4414.0,7
88,24,4414.0,1
89,24,5916.0,2
90,24,4742.0,3
91,24,4863.0,4
92,24,4559.0,5
93,24,3986.0,6
94,24,3603.0,7
95,24,3627.0,1
96,24,4283.0,2
97,24,7214.0,3
98,24,4703.0,4
99,24,4596.0,5
100,24,4557.0,6
101,24,3723.0,7
102,24,3381.0,1
103,24,4722.0,2
104,24,5478.0,3
105,24,4609.5,4
106,24,4863.0,5
107,24,7049.0,6
108,24,3738.0,7
109,24,3717.0,1
110,24,5282.0,2
111,24,6752.0,3
112,24,6898.0,4
113,24,6870.0,5
114,24,6154.0,6
115,24,6319.0,7
116,24,4750.0,1
117,24,7029.0,2
118,24,4789.0,3
119,24,7960.0,4
120,24,4924.0,5
121,24,5609.0,6
122,24,4430.0,7
