,data points,Water flow,Weekday
0,24,600.0,4
1,24,831.0,5
2,24,466.0,6
3,24,720.0,7
4,24,805.0,1
5,24,758.0,2
6,24,619.0,3
7,24,504.0,4
8,24,824.0,5
9,24,729.0,6
10,24,564.0,7
11,24,743.0,1
12,24,405.0,2
13,24,453.0,3
14,24,795.0,4
15,24,897.0,5
16,24,752.0,6
17,24,866.0,7
18,24,768.0,1
19,24,882.0,2
20,24,753.0,3
21,24,806.0,4
22,24,771.0,5
23,24,843.0,6
24,24,768.0,7
25,24,801.0,1
26,24,838.0,2
27,24,1006.0,3
28,24,999.0,4
29,24,852.0,5
30,24,772.0,6
31,24,918.0,7
32,24,801.0,1
33,24,885.0,2
34,24,874.0,3
35,24,964.0,4
36,24,800.0,5
37,24,874.0,6
38,24,760.0,7
39,24,741.0,1
40,24,212.0,2
41,24,657.0,3
42,24,743.0,4
43,24,692.0,5
44,24,775.0,6
45,24,856.0,7
46,24,767.0,1
47,24,737.0,2
48,24,619.0,3
49,24,923.0,4
50,24,811.0,5
51,24,674.0,6
52,24,757.0,7
53,24,730.0,1
54,24,683.0,2
55,24,378.0,3
56,24,526.0,4
57,24,783.0,5
58,24,646.0,6
59,24,772.0,7
60,24,744.0,1
61,24,757.0,2
62,24,456.0,3
63,24,734.0,4
64,24,611.0,5
65,24,793.0,6
66,24,705.0,7
67,24,704.0,1
68,24,773.0,2
69,24,882.0,3
70,24,852.0,4
71,24,520.0,5
72,24,823.0,6
73,24,721.0,7
74,24,807.0,1
75,24,675.0,2
76,24,776.5,3
77,24,776.0,4
78,24,344.0,5
79,24,0.0,6
80,24,0.0,7
81,24,0.0,1
82,24,5.0,2
83,24,22.0,3
84,24,0.0,4
85,24,1.0,5
86,24,0.0,6
87,24,0.0,7
88,24,2.0,1
89,24,0.0,2
90,24,3.0,3
91,24,26.0,4
92,24,0.0,5
93,24,3.0,6
94,24,0.0,7
95,24,0.0,1
96,24,0.0,2
97,24,0.0,3
98,24,3.0,4
99,24,0.0,5
100,24,0.0,6
101,24,0.0,7
102,24,0.0,1
103,24,20.0,2
104,24,7.0,3
105,24,0.0,4
106,24,0.0,5
107,24,0.0,6
108,24,0.0,7
109,24,0.0,1
110,24,1.0,2
111,24,2.0,3
112,24,3.0,4
113,24,3.0,5
114,24,0.0,6
115,24,0.0,7
116,24,0.0,1
117,24,0.0,2
118,24,0.0,3
119,24,2.0,4
120,24,31.0,5
121,24,0.0,6
122,24,0.0,7
