,data points,Water flow,Weekday
0,24,310.0,4
1,24,220.0,5
2,24,320.0,6
3,24,90.0,7
4,24,130.0,1
5,24,60.0,2
6,24,80.0,3
7,24,190.0,4
8,24,450.0,5
9,24,610.0,6
10,24,640.0,7
11,24,960.0,1
12,24,1430.0,2
13,24,1690.0,3
14,24,2400.0,4
15,24,2530.0,5
16,24,3240.0,6
17,24,2900.0,7
18,24,8390.0,1
19,24,10540.0,2
20,24,11270.0,3
21,24,11430.0,4
22,24,11890.0,5
23,24,12870.0,6
24,24,12100.0,7
25,24,13600.0,1
26,24,12740.0,2
27,24,12910.0,3
28,24,12520.0,4
29,24,12700.0,5
30,24,12200.0,6
31,24,11900.0,7
32,24,12020.0,1
33,24,13620.0,2
34,24,12400.0,3
35,24,12930.0,4
36,24,13030.0,5
37,24,11630.0,6
38,24,8970.0,7
39,24,9090.0,1
40,24,8070.0,2
41,24,11230.0,3
42,24,12340.0,4
43,24,12930.0,5
44,24,13290.0,6
45,24,13665.0,7
46,24,13710.0,1
47,24,12150.0,2
48,24,12940.0,3
49,24,13060.0,4
50,24,13060.0,5
51,24,13780.0,6
52,24,14170.0,7
53,24,12430.0,1
54,24,12950.0,2
55,24,12330.0,3
56,24,12400.0,4
57,24,12960.0,5
58,24,14010.0,6
59,24,13510.0,7
60,24,12890.0,1
61,24,12380.0,2
62,24,12700.0,3
63,24,12340.0,4
64,24,12790.0,5
65,24,12710.0,6
66,24,10380.0,7
67,24,10280.0,1
68,24,9880.0,2
69,24,12390.0,3
70,24,11490.0,4
71,24,9280.0,5
72,24,7680.0,6
73,24,6950.0,7
74,24,9490.0,1
75,24,11870.0,2
76,24,12495.0,3
77,24,12920.0,4
78,24,13130.0,5
79,24,13730.0,6
80,24,13270.0,7
81,24,14120.0,1
82,24,12790.0,2
83,24,13160.0,3
84,24,13370.0,4
85,24,13350.0,5
86,24,15400.0,6
87,24,15450.0,7
88,24,14440.0,1
89,24,12960.0,2
90,24,13160.0,3
91,24,13580.0,4
92,24,14790.0,5
93,24,14270.0,6
94,24,13500.0,7
95,24,13420.0,1
96,24,13660.0,2
97,24,13825.0,3
98,24,13450.0,4
99,24,15300.0,5
100,24,13640.0,6
101,24,13590.0,7
102,24,13550.0,1
103,24,13390.0,2
104,24,13460.0,3
105,24,14125.0,4
106,24,13530.0,5
107,24,16110.0,6
108,24,14140.0,7
109,24,11320.0,1
110,24,14220.0,2
111,24,14040.0,3
112,24,13170.0,4
113,24,14670.0,5
114,24,13851.149999999998,6
115,24,17625.84,7
116,24,15870.0,1
117,24,13910.0,2
118,24,14350.0,3
119,24,13530.0,4
120,24,13890.0,5
121,24,14170.0,6
122,24,14050.0,7
