,data points,Water flow,Weekday
0,24,310.0,4
1,24,230.0,5
2,24,210.0,6
3,24,220.0,7
4,24,310.0,1
5,24,1130.0,2
6,24,3480.0,3
7,24,1800.0,4
8,24,1990.0,5
9,24,1840.0,6
10,24,1750.0,7
11,24,1640.0,1
12,24,2540.0,2
13,24,1590.0,3
14,24,1130.0,4
15,24,1620.0,5
16,24,1720.0,6
17,24,1450.0,7
18,24,4450.0,1
19,24,7700.0,2
20,24,9460.0,3
21,24,9600.0,4
22,24,10390.0,5
23,24,11230.0,6
24,24,10530.0,7
25,24,12370.0,1
26,24,11340.0,2
27,24,11550.0,3
28,24,11470.0,4
29,24,10530.0,5
30,24,11810.0,6
31,24,10220.0,7
32,24,10200.0,1
33,24,11040.0,2
34,24,10690.0,3
35,24,11870.0,4
36,24,11470.0,5
37,24,10230.0,6
38,24,5350.0,7
39,24,4530.0,1
40,24,4630.0,2
41,24,8300.0,3
42,24,10330.0,4
43,24,11290.0,5
44,24,12250.0,6
45,24,11310.0,7
46,24,11310.0,1
47,24,11970.0,2
48,24,10950.0,3
49,24,11650.0,4
50,24,11520.0,5
51,24,11890.0,6
52,24,10990.0,7
53,24,11800.0,1
54,24,11160.0,2
55,24,10880.0,3
56,24,11480.0,4
57,24,11420.0,5
58,24,11995.0,6
59,24,11530.0,7
60,24,10770.0,1
61,24,11230.0,2
62,24,10730.0,3
63,24,11830.0,4
64,24,10890.0,5
65,24,11990.0,6
66,24,11170.0,7
67,24,12320.0,1
68,24,11430.0,2
69,24,11820.0,3
70,24,10250.0,4
71,24,3260.0,5
72,24,2510.0,6
73,24,2140.0,7
74,24,5740.0,1
75,24,10620.0,2
76,24,11575.0,3
77,24,10570.0,4
78,24,11310.0,5
79,24,12420.0,6
80,24,12280.0,7
81,24,12260.0,1
82,24,11810.0,2
83,24,11740.0,3
84,24,11610.0,4
85,24,10880.0,5
86,24,13450.0,6
87,24,11970.0,7
88,24,12160.0,1
89,24,11490.0,2
90,24,11590.0,3
91,24,11510.0,4
92,24,12100.0,5
93,24,12770.0,6
94,24,10380.0,7
95,24,10920.0,1
96,24,11520.0,2
97,24,11730.0,3
98,24,10910.0,4
99,24,11740.0,5
100,24,11990.0,6
101,24,10990.0,7
102,24,11830.0,1
103,24,12050.0,2
104,24,11560.0,3
105,24,12335.0,4
106,24,10670.0,5
107,24,12970.0,6
108,24,12310.0,7
109,24,10680.0,1
110,24,10840.0,2
111,24,11610.0,3
112,24,12020.0,4
113,24,11020.0,5
114,24,12530.0,6
115,24,11200.0,7
116,24,13320.0,1
117,24,12240.0,2
118,24,12060.0,3
119,24,13140.0,4
120,24,11250.0,5
121,24,11670.0,6
122,24,11500.0,7
