,data points,Water flow,Weekday
0,24,3660.0,4
1,24,2147.0,5
2,24,4187.0,6
3,24,798.0,7
4,24,941.0,1
5,24,2867.0,2
6,24,1553.0,3
7,24,2289.0,4
8,24,1765.0,5
9,24,2737.0,6
10,24,1679.0,7
11,24,1217.0,1
12,24,5364.0,2
13,24,3301.0,3
14,24,3184.0,4
15,24,1761.0,5
16,24,3871.0,6
17,24,704.0,7
18,24,761.0,1
19,24,3392.0,2
20,24,2696.0,3
21,24,3676.0,4
22,24,1738.0,5
23,24,7371.0,6
24,24,3320.0,7
25,24,6606.0,1
26,24,3892.0,2
27,24,1894.0,3
28,24,3085.0,4
29,24,1577.0,5
30,24,2397.0,6
31,24,303.0,7
32,24,172.0,1
33,24,1547.0,2
34,24,2430.0,3
35,24,3128.0,4
36,24,1487.0,5
37,24,2284.0,6
38,24,345.0,7
39,24,357.0,1
40,24,2174.0,2
41,24,928.0,3
42,24,2509.0,4
43,24,1667.0,5
44,24,2006.0,6
45,24,322.0,7
46,24,266.0,1
47,24,2378.0,2
48,24,1693.0,3
49,24,1384.0,4
50,24,2282.0,5
51,24,1729.0,6
52,24,368.0,7
53,24,1380.0,1
54,24,3108.0,2
55,24,3613.0,3
56,24,1808.0,4
57,24,2219.0,5
58,24,2822.0,6
59,24,813.0,7
60,24,315.0,1
61,24,1812.0,2
62,24,2004.0,3
63,24,1766.0,4
64,24,2060.0,5
65,24,1848.0,6
66,24,7151.0,7
67,24,7617.0,1
68,24,1564.0,2
69,24,1963.0,3
70,24,1663.0,4
71,24,813.0,5
72,24,991.0,6
73,24,368.0,7
74,24,233.0,1
75,24,1786.0,2
76,24,2030.5,3
77,24,1769.0,4
78,24,2084.0,5
79,24,1581.0,6
80,24,325.0,7
81,24,390.0,1
82,24,1875.0,2
83,24,1824.0,3
84,24,1805.0,4
85,24,2056.0,5
86,24,1530.0,6
87,24,458.0,7
88,24,473.0,1
89,24,3256.0,2
90,24,1979.0,3
91,24,1838.0,4
92,24,1766.0,5
93,24,1426.0,6
94,24,400.0,7
95,24,399.0,1
96,24,1560.0,2
97,24,1588.0,3
98,24,1515.0,4
99,24,1593.0,5
100,24,1797.0,6
101,24,381.0,7
102,24,467.0,1
103,24,1696.0,2
104,24,1764.0,3
105,24,2334.5,4
106,24,1417.0,5
107,24,500.0,6
108,24,552.0,7
109,24,380.0,1
110,24,1714.0,2
111,24,2987.0,3
112,24,1968.0,4
113,24,2781.0,5
114,24,1694.0,6
115,24,556.0,7
116,24,419.0,1
117,24,1844.0,2
118,24,2174.0,3
119,24,2226.0,4
120,24,1578.0,5
121,24,1454.0,6
122,24,451.0,7
