,data points,Water flow,Weekday
0,24,11070.0,4
1,24,10532.0,5
2,24,8427.0,6
3,24,10565.0,7
4,24,10374.0,1
5,24,11196.0,2
6,24,10458.0,3
7,24,9566.0,4
8,24,10372.0,5
9,24,10186.0,6
10,24,9141.0,7
11,24,10117.0,1
12,24,8848.0,2
13,24,9132.0,3
14,24,10643.0,4
15,24,10618.0,5
16,24,10393.0,6
17,24,9036.0,7
18,24,8759.0,1
19,24,8165.5,2
20,24,9291.0,3
21,24,9020.0,4
22,24,7673.0,5
23,24,7415.0,6
24,24,7890.0,7
25,24,9266.0,1
26,24,10665.0,2
27,24,11026.0,3
28,24,11602.0,4
29,24,9793.0,5
30,24,7823.0,6
31,24,8634.0,7
32,24,10875.0,1
33,24,10639.0,2
34,24,10945.0,3
35,24,8806.0,4
36,24,8095.0,5
37,24,8051.0,6
38,24,6860.0,7
39,24,8319.0,1
40,24,9096.0,2
41,24,7514.0,3
42,24,4853.0,4
43,24,8497.0,5
44,24,9865.0,6
45,24,9768.0,7
46,24,8934.0,1
47,24,9084.0,2
48,24,10200.0,3
49,24,8781.0,4
50,24,7736.0,5
51,24,8556.0,6
52,24,7418.0,7
53,24,6835.0,1
54,24,7578.0,2
55,24,7755.0,3
56,24,8763.0,4
57,24,5409.0,5
58,24,3942.0,6
59,24,3142.0,7
60,24,2545.0,1
61,24,3771.0,2
62,24,5413.0,3
63,24,5280.0,4
64,24,4966.0,5
65,24,3185.0,6
66,24,5568.0,7
67,24,8267.0,1
68,24,7054.0,2
69,24,9102.0,3
70,24,9043.0,4
71,24,8950.0,5
72,24,1444.0,6
73,24,1326.0,7
74,24,1578.0,1
75,24,2987.0,2
76,24,1962.0,3
77,24,1466.0,4
78,24,2855.0,5
79,24,2614.0,6
80,24,2199.0,7
81,24,5106.0,1
82,24,5111.0,2
83,24,2175.0,3
84,24,1812.0,4
85,24,1855.0,5
86,24,1988.0,6
87,24,133.0,7
88,24,140.0,1
89,24,1585.0,2
90,24,391.0,3
91,24,1249.0,4
92,24,364.0,5
93,24,1040.0,6
94,24,161.0,7
95,24,137.0,1
96,24,409.0,2
97,24,376.5,3
98,24,472.0,4
99,24,322.0,5
100,24,326.0,6
101,24,141.0,7
102,24,79.0,1
103,24,333.0,2
104,24,440.0,3
105,24,481.0,4
106,24,471.0,5
107,24,289.0,6
108,24,48.0,7
109,24,53.0,1
110,24,414.0,2
111,24,537.0,3
112,24,436.0,4
113,24,320.0,5
114,24,430.0,6
115,24,111.0,7
116,24,75.0,1
117,24,326.0,2
118,24,412.0,3
119,24,487.0,4
120,24,424.0,5
121,24,465.0,6
122,24,147.0,7
