,data points,Water flow,Weekday
0,24,3996.0,4
1,24,3939.0,5
2,24,2774.0,6
3,24,2797.0,7
4,24,3351.0,1
5,24,3093.0,2
6,24,5093.0,3
7,24,4694.0,4
8,24,4245.0,5
9,24,3866.0,6
10,24,2840.0,7
11,24,3543.0,1
12,24,2763.0,2
13,24,5210.0,3
14,24,3566.0,4
15,24,4113.0,5
16,24,4278.0,6
17,24,2496.0,7
18,24,1415.0,1
19,24,2611.0,2
20,24,2413.0,3
21,24,3454.0,4
22,24,3231.0,5
23,24,3239.0,6
24,24,2841.0,7
25,24,3271.0,1
26,24,6177.0,2
27,24,7990.0,3
28,24,7754.0,4
29,24,5751.0,5
30,24,2580.5,6
31,24,2282.0,7
32,24,3718.0,1
33,24,4811.0,2
34,24,6158.0,3
35,24,7477.0,4
36,24,6300.0,5
37,24,3564.0,6
38,24,765.0,7
39,24,274.0,1
40,24,815.0,2
41,24,1208.0,3
42,24,2795.0,4
43,24,4369.0,5
44,24,4676.0,6
45,24,3113.0,7
46,24,3482.0,1
47,24,4397.0,2
48,24,4698.0,3
49,24,3060.0,4
50,24,3307.0,5
51,24,5630.0,6
52,24,773.0,7
53,24,948.0,1
54,24,2648.0,2
55,24,2171.0,3
56,24,3569.0,4
57,24,1965.0,5
58,24,1862.5,6
59,24,2793.0,7
60,24,1094.0,1
61,24,3045.0,2
62,24,2190.0,3
63,24,2426.0,4
64,24,3176.0,5
65,24,2686.0,6
66,24,1584.0,7
67,24,2809.0,1
68,24,3925.0,2
69,24,4903.0,3
70,24,4531.0,4
71,24,2438.0,5
72,24,984.0,6
73,24,378.0,7
74,24,371.0,1
75,24,2305.0,2
76,24,9724.5,3
77,24,2901.0,4
78,24,2826.0,5
79,24,1986.0,6
80,24,1261.0,7
81,24,2478.0,1
82,24,1745.0,2
83,24,1886.0,3
84,24,2686.0,4
85,24,1968.0,5
86,24,1543.0,6
87,24,1154.0,7
88,24,554.0,1
89,24,1627.0,2
90,24,2217.0,3
91,24,1692.0,4
92,24,2092.0,5
93,24,1572.0,6
94,24,1739.0,7
95,24,770.0,1
96,24,1761.0,2
97,24,1979.0,3
98,24,1770.0,4
99,24,2018.0,5
100,24,1669.0,6
101,24,889.0,7
102,24,890.0,1
103,24,3182.0,2
104,24,2073.0,3
105,24,2184.5,4
106,24,1952.0,5
107,24,1202.0,6
108,24,1234.0,7
109,24,781.0,1
110,24,1852.0,2
111,24,2212.0,3
112,24,2283.0,4
113,24,2019.0,5
114,24,1631.0,6
115,24,1468.0,7
116,24,1014.0,1
117,24,2369.0,2
118,24,2557.0,3
119,24,2059.0,4
120,24,2072.0,5
121,24,2130.0,6
122,24,919.0,7
