,data points,Water flow,Weekday
0,24,10755.0,4
1,24,10660.0,5
2,24,9920.0,6
3,24,11750.0,7
4,24,13080.0,1
5,24,9400.0,2
6,24,9240.0,3
7,24,11030.0,4
8,24,10290.0,5
9,24,9770.0,6
10,24,11300.0,7
11,24,12350.0,1
12,24,9750.0,2
13,24,9950.0,3
14,24,10590.0,4
15,24,10550.0,5
16,24,10010.0,6
17,24,6500.0,7
18,24,3960.0,1
19,24,4950.0,2
20,24,5560.0,3
21,24,8420.0,4
22,24,6750.0,5
23,24,11370.0,6
24,24,4890.0,7
25,24,6660.0,1
26,24,9920.0,2
27,24,12440.0,3
28,24,11770.0,4
29,24,9610.0,5
30,24,5770.0,6
31,24,5080.0,7
32,24,6590.0,1
33,24,7930.0,2
34,24,10840.0,3
35,24,11460.0,4
36,24,10460.0,5
37,24,7480.0,6
38,24,3960.0,7
39,24,14250.0,1
40,24,13200.0,2
41,24,6190.0,3
42,24,7610.0,4
43,24,9340.0,5
44,24,10670.0,6
45,24,8870.0,7
46,24,13300.0,1
47,24,11460.0,2
48,24,11410.0,3
49,24,10310.0,4
50,24,11260.0,5
51,24,10050.0,6
52,24,10400.0,7
53,24,13410.0,1
54,24,12710.0,2
55,24,10710.0,3
56,24,10410.0,4
57,24,10510.0,5
58,24,27030.0,6
59,24,13240.0,7
60,24,13770.0,1
61,24,13050.0,2
62,24,9026.55,3
63,24,17387.7,4
64,24,11890.0,5
65,24,13900.0,6
66,24,10190.0,7
67,24,11900.0,1
68,24,10710.0,2
69,24,11160.0,3
70,24,11830.0,4
71,24,8600.0,5
72,24,15980.0,6
73,24,15030.0,7
74,24,16270.0,1
75,24,14000.0,2
76,24,10200.0,3
77,24,5260.0,4
78,24,4770.0,5
79,24,4730.0,6
80,24,2940.0,7
81,24,3310.0,1
82,24,5140.0,2
83,24,4900.0,3
84,24,5180.0,4
85,24,4770.0,5
86,24,4970.0,6
87,24,2320.0,7
88,24,2720.0,1
89,24,6480.0,2
90,24,4630.0,3
91,24,4510.0,4
92,24,5230.0,5
93,24,4650.0,6
94,24,2900.0,7
95,24,2920.0,1
96,24,6930.0,2
97,24,4455.0,3
98,24,4830.0,4
99,24,4790.0,5
100,24,4390.0,6
101,24,2620.0,7
102,24,2710.0,1
103,24,5610.0,2
104,24,5700.0,3
105,24,4515.0,4
106,24,4140.0,5
107,24,2460.0,6
108,24,2910.0,7
109,24,2540.0,1
110,24,4800.0,2
111,24,4380.0,3
112,24,4210.0,4
113,24,4680.0,5
114,24,5590.0,6
115,24,2010.0,7
116,24,3220.0,1
117,24,4180.0,2
118,24,4710.0,3
119,24,4170.0,4
120,24,6970.0,5
121,24,3650.0,6
122,24,3050.0,7
