,data points,Water flow,Weekday
0,24,1385.0,4
1,24,970.0,5
2,24,1010.0,6
3,24,710.0,7
4,24,730.0,1
5,24,1830.0,2
6,24,3510.0,3
7,24,1390.0,4
8,24,1300.0,5
9,24,1530.0,6
10,24,1160.0,7
11,24,1370.0,1
12,24,1710.0,2
13,24,1570.0,3
14,24,1930.0,4
15,24,2150.0,5
16,24,2270.0,6
17,24,2590.0,7
18,24,5990.0,1
19,24,9770.0,2
20,24,11660.0,3
21,24,12210.0,4
22,24,13240.0,5
23,24,13350.0,6
24,24,14020.0,7
25,24,14950.0,1
26,24,13750.0,2
27,24,14510.0,3
28,24,13510.0,4
29,24,13780.0,5
30,24,14835.0,6
31,24,13060.0,7
32,24,13370.0,1
33,24,14510.0,2
34,24,13390.0,3
35,24,13530.0,4
36,24,14200.0,5
37,24,13130.0,6
38,24,6450.0,7
39,24,5480.0,1
40,24,6810.0,2
41,24,9510.0,3
42,24,12310.0,4
43,24,13140.0,5
44,24,14310.0,6
45,24,13250.0,7
46,24,13500.0,1
47,24,13710.0,2
48,24,13550.0,3
49,24,14590.0,4
50,24,12930.0,5
51,24,14120.0,6
52,24,13980.0,7
53,24,13020.0,1
54,24,13380.0,2
55,24,13240.0,3
56,24,14060.0,4
57,24,13380.0,5
58,24,14995.0,6
59,24,13000.0,7
60,24,14190.0,1
61,24,13480.0,2
62,24,13810.0,3
63,24,13780.0,4
64,24,15180.0,5
65,24,15030.0,6
66,24,13570.0,7
67,24,14540.0,1
68,24,13430.0,2
69,24,15150.0,3
70,24,12820.0,4
71,24,5480.0,5
72,24,3350.0,6
73,24,3080.0,7
74,24,7070.0,1
75,24,13210.0,2
76,24,12840.0,3
77,24,13510.0,4
78,24,13290.0,5
79,24,15210.0,6
80,24,14430.0,7
81,24,13240.0,1
82,24,13370.0,2
83,24,14140.0,3
84,24,13900.0,4
85,24,13600.0,5
86,24,15360.0,6
87,24,15460.0,7
88,24,14470.0,1
89,24,13740.0,2
90,24,13240.0,3
91,24,14330.0,4
92,24,14620.0,5
93,24,15120.0,6
94,24,13230.0,7
95,24,13300.0,1
96,24,14380.0,2
97,24,14260.0,3
98,24,15280.0,4
99,24,14230.0,5
100,24,14690.0,6
101,24,12930.0,7
102,24,14340.0,1
103,24,14650.0,2
104,24,14390.0,3
105,24,14470.0,4
106,24,14140.0,5
107,24,15390.0,6
108,24,14340.0,7
109,24,13770.0,1
110,24,12730.0,2
111,24,13480.0,3
112,24,14580.0,4
113,24,15080.0,5
114,24,15200.0,6
115,24,16060.0,7
116,24,15550.0,1
117,24,15640.0,2
118,24,15180.0,3
119,24,14380.0,4
120,24,14980.0,5
121,24,15170.0,6
122,24,14920.0,7
