,data points,Water flow,Weekday
0,24,5248.0,4
1,24,4928.0,5
2,24,2952.0,6
3,24,2902.0,7
4,24,3840.0,1
5,24,5633.0,2
6,24,5085.0,3
7,24,3546.0,4
8,24,4319.0,5
9,24,3488.0,6
10,24,1054.0,7
11,24,3598.0,1
12,24,2337.0,2
13,24,2579.0,3
14,24,4613.0,4
15,24,6244.0,5
16,24,3662.0,6
17,24,1522.0,7
18,24,3096.0,1
19,24,2705.0,2
20,24,2955.0,3
21,24,8937.0,4
22,24,6581.0,5
23,24,6558.0,6
24,24,1624.0,7
25,24,2932.0,1
26,24,10091.0,2
27,24,11940.0,3
28,24,11845.0,4
29,24,9277.0,5
30,24,5629.5,6
31,24,1284.0,7
32,24,3692.0,1
33,24,4785.0,2
34,24,10110.0,3
35,24,11365.0,4
36,24,10764.0,5
37,24,6988.0,6
38,24,1238.0,7
39,24,546.0,1
40,24,619.0,2
41,24,1958.0,3
42,24,7274.0,4
43,24,13723.0,5
44,24,7416.0,6
45,24,4689.0,7
46,24,5349.0,1
47,24,8323.0,2
48,24,8571.0,3
49,24,2918.0,4
50,24,6928.0,5
51,24,5658.0,6
52,24,1792.0,7
53,24,2264.0,1
54,24,5582.0,2
55,24,6061.0,3
56,24,7881.0,4
57,24,5227.0,5
58,24,4296.5,6
59,24,1123.0,7
60,24,844.0,1
61,24,4874.0,2
62,24,6273.0,3
63,24,5540.0,4
64,24,6402.0,5
65,24,4017.0,6
66,24,1317.0,7
67,24,3203.0,1
68,24,6910.0,2
69,24,8274.0,3
70,24,7844.0,4
71,24,1039.0,5
72,24,2545.0,6
73,24,406.0,7
74,24,350.0,1
75,24,4242.0,2
76,24,5560.5,3
77,24,4108.0,4
78,24,4441.0,5
79,24,2486.0,6
80,24,618.0,7
81,24,1161.0,1
82,24,4047.0,2
83,24,4933.0,3
84,24,4254.0,4
85,24,4465.0,5
86,24,2800.0,6
87,24,1302.0,7
88,24,460.0,1
89,24,3663.0,2
90,24,4381.0,3
91,24,3654.0,4
92,24,3814.0,5
93,24,2664.0,6
94,24,542.0,7
95,24,696.0,1
96,24,4029.0,2
97,24,4449.5,3
98,24,4053.0,4
99,24,4278.0,5
100,24,2706.0,6
101,24,658.0,7
102,24,506.0,1
103,24,5174.0,2
104,24,4090.0,3
105,24,4083.0,4
106,24,3368.0,5
107,24,607.0,6
108,24,945.0,7
109,24,224.0,1
110,24,3708.0,2
111,24,4453.0,3
112,24,3988.0,4
113,24,4401.0,5
114,24,2880.0,6
115,24,572.0,7
116,24,794.0,1
117,24,4059.0,2
118,24,4488.0,3
119,24,4343.0,4
120,24,3578.0,5
121,24,2348.0,6
122,24,794.0,7
