,data points,Water flow,Weekday
0,24,1955.0,4
1,24,1610.0,5
2,24,1510.0,6
3,24,1180.0,7
4,24,1250.0,1
5,24,1690.0,2
6,24,2000.0,3
7,24,2290.0,4
8,24,2310.0,5
9,24,2120.0,6
10,24,2010.0,7
11,24,1990.0,1
12,24,2400.0,2
13,24,2330.0,3
14,24,2650.0,4
15,24,2790.0,5
16,24,2710.0,6
17,24,2520.0,7
18,24,4090.0,1
19,24,5730.0,2
20,24,6570.0,3
21,24,6660.0,4
22,24,6940.0,5
23,24,7290.0,6
24,24,7230.0,7
25,24,7540.0,1
26,24,6890.0,2
27,24,7840.0,3
28,24,7480.0,4
29,24,7030.0,5
30,24,7110.0,6
31,24,6640.0,7
32,24,6840.0,1
33,24,7110.0,2
34,24,7290.0,3
35,24,7400.0,4
36,24,7190.0,5
37,24,6360.0,6
38,24,4010.0,7
39,24,4000.0,1
40,24,4070.0,2
41,24,5270.0,3
42,24,6680.0,4
43,24,7050.0,5
44,24,7390.0,6
45,24,6920.0,7
46,24,7430.0,1
47,24,7350.0,2
48,24,7090.0,3
49,24,6960.0,4
50,24,7788.463555322496,5
51,24,9486.733088620871,6
52,24,9365.915049816465,7
53,24,9245.097011012062,1
54,24,9124.278972207658,2
55,24,9003.46093340325,3
56,24,8882.642894598846,4
57,24,8761.82485579444,5
58,24,8641.006816990037,6
59,24,8520.188778185631,7
60,24,8399.370739381227,1
61,24,8278.552700576822,2
62,24,8157.734661772418,3
63,24,8036.916622968013,4
64,24,7916.0985841636075,5
65,24,7795.280545359204,6
66,24,7674.462506554799,7
67,24,7553.644467750393,1
68,24,7432.8264289459885,2
69,24,7312.008390141584,3
70,24,7191.190351337178,4
71,24,7070.372312532773,5
72,24,6949.5542737283695,6
73,24,6828.736234923965,7
74,24,6707.91819611956,1
75,24,6587.100157315154,2
76,24,6466.2821185107505,3
77,24,6345.464079706346,4
78,24,6224.64604090194,5
79,24,6103.828002097534,6
80,24,5983.00996329313,7
81,24,5862.191924488725,1
82,24,5741.373885684321,2
83,24,5620.555846879917,3
84,24,5499.737808075512,4
85,24,5378.919769271108,5
86,24,5258.101730466702,6
87,24,5137.283691662297,7
88,24,5016.465652857892,1
89,24,4895.647614053487,2
90,24,4774.829575249081,3
91,24,4654.011536444677,4
92,24,4533.193497640273,5
93,24,4412.375458835868,6
94,24,4291.557420031463,7
95,24,4170.739381227058,1
96,24,4049.921342422653,2
97,24,3929.1033036182484,3
98,24,3808.2852648138437,4
99,24,3687.467226009438,5
100,24,3566.649187205034,6
101,24,3445.831148400629,7
102,24,3325.0131095962242,1
103,24,3204.19507079182,2
104,24,3083.377031987415,3
105,24,2962.5589931830104,4
106,24,2841.740954378605,5
107,24,2720.9229155742,6
108,24,2600.1048767697953,7
109,24,2197.378080755113,1
110,24,1512.742527530152,2
111,24,1391.9244887257473,3
112,24,1271.1064499213423,4
113,24,1150.2884111169374,5
114,24,1029.4703723125328,6
115,24,908.6523335081279,7
116,24,787.8342947037231,1
117,24,667.0162558993181,2
118,24,546.1982170949134,3
119,24,425.38017829050864,4
120,24,304.56213948610383,5
121,24,183.74410068169902,6
122,24,62.92606187729416,7
