,data points,Water flow,Weekday
0,24,550.0,4
1,24,110.0,5
2,24,60.0,6
3,24,60.0,7
4,24,160.0,1
5,24,1530.0,2
6,24,4550.0,3
7,24,1530.0,4
8,24,1600.0,5
9,24,1800.0,6
10,24,1580.0,7
11,24,1700.0,1
12,24,2720.0,2
13,24,1910.0,3
14,24,2330.0,4
15,24,2340.0,5
16,24,2580.0,6
17,24,1510.0,7
18,24,5380.0,1
19,24,8560.0,2
20,24,11140.0,3
21,24,11580.0,4
22,24,12030.0,5
23,24,12320.0,6
24,24,13270.0,7
25,24,14370.0,1
26,24,13030.0,2
27,24,13750.0,3
28,24,12350.0,4
29,24,12900.0,5
30,24,13065.0,6
31,24,13130.0,7
32,24,12290.0,1
33,24,13680.0,2
34,24,13060.0,3
35,24,12970.0,4
36,24,14160.0,5
37,24,11330.0,6
38,24,7170.0,7
39,24,5760.0,1
40,24,7200.0,2
41,24,10480.0,3
42,24,11920.0,4
43,24,14450.0,5
44,24,13840.0,6
45,24,13790.0,7
46,24,13420.0,1
47,24,13630.0,2
48,24,13070.0,3
49,24,13910.0,4
50,24,12960.0,5
51,24,13750.0,6
52,24,13930.0,7
53,24,13240.0,1
54,24,12710.0,2
55,24,13420.0,3
56,24,12950.0,4
57,24,13630.0,5
58,24,14480.0,6
59,24,12620.0,7
60,24,14280.0,1
61,24,14030.0,2
62,24,13590.0,3
63,24,13760.0,4
64,24,13660.0,5
65,24,14200.0,6
66,24,13060.0,7
67,24,14310.0,1
68,24,13960.0,2
69,24,14460.0,3
70,24,13390.0,4
71,24,5400.0,5
72,24,3450.0,6
73,24,3080.0,7
74,24,7880.0,1
75,24,12550.0,2
76,24,13295.0,3
77,24,13820.0,4
78,24,13120.0,5
79,24,14220.0,6
80,24,14090.0,7
81,24,15240.0,1
82,24,13410.0,2
83,24,13920.0,3
84,24,14720.0,4
85,24,14170.0,5
86,24,15240.0,6
87,24,15510.0,7
88,24,15500.0,1
89,24,13400.0,2
90,24,14240.0,3
91,24,13970.0,4
92,24,13860.0,5
93,24,14680.0,6
94,24,14110.0,7
95,24,14390.0,1
96,24,13890.0,2
97,24,14385.0,3
98,24,14000.0,4
99,24,14500.0,5
100,24,14470.0,6
101,24,14680.0,7
102,24,14980.0,1
103,24,13400.0,2
104,24,14410.0,3
105,24,14495.0,4
106,24,14590.0,5
107,24,15980.0,6
108,24,14330.0,7
109,24,13450.0,1
110,24,12820.0,2
111,24,13490.0,3
112,24,14620.0,4
113,24,13810.0,5
114,24,14670.0,6
115,24,15540.0,7
116,24,15320.0,1
117,24,15510.0,2
118,24,14450.0,3
119,24,14780.0,4
120,24,14500.0,5
121,24,14490.0,6
122,24,14600.0,7
