,data points,Water flow,Weekday
0,24,0.0,4
1,24,0.0,5
2,24,0.0,6
3,24,0.0,7
4,24,0.0,1
5,24,0.0,2
6,24,0.0,3
7,24,0.0,4
8,24,0.0,5
9,24,0.0,6
10,24,0.0,7
11,24,0.0,1
12,24,0.0,2
13,24,0.0,3
14,24,0.0,4
15,24,0.0,5
16,24,0.0,6
17,24,0.0,7
18,24,0.0,1
19,24,0.0,2
20,24,0.0,3
21,24,0.0,4
22,24,0.0,5
23,24,0.0,6
24,24,0.0,7
25,24,0.0,1
26,24,0.0,2
27,24,0.0,3
28,24,0.0,4
29,24,0.0,5
30,24,0.0,6
31,24,0.0,7
32,24,0.0,1
33,24,0.0,2
34,24,0.0,3
35,24,0.0,4
36,24,0.0,5
37,24,0.0,6
38,24,0.0,7
39,24,0.0,1
40,24,0.0,2
41,24,0.0,3
42,24,0.0,4
43,24,0.0,5
44,24,0.0,6
45,24,0.0,7
46,24,0.0,1
47,24,0.0,2
48,24,0.0,3
49,24,0.0,4
50,24,0.0,5
51,24,0.0,6
52,24,0.0,7
53,24,0.0,1
54,24,0.0,2
55,24,0.0,3
56,24,0.0,4
57,24,0.0,5
58,24,0.0,6
59,24,0.0,7
60,24,0.0,1
61,24,0.0,2
62,24,0.0,3
63,24,0.0,4
64,24,0.0,5
65,24,0.0,6
66,24,0.0,7
67,24,0.0,1
68,24,0.0,2
69,24,0.0,3
70,24,0.0,4
71,24,0.0,5
72,24,0.0,6
73,24,0.0,7
74,24,0.0,1
75,24,0.0,2
76,24,0.0,3
77,24,0.0,4
78,24,0.0,5
79,24,0.0,6
80,24,0.0,7
81,24,0.0,1
82,24,0.0,2
83,24,0.0,3
84,24,0.0,4
85,24,0.0,5
86,24,0.0,6
87,24,0.0,7
88,24,0.0,1
89,24,0.0,2
90,24,0.0,3
91,24,0.0,4
92,24,0.0,5
93,24,0.0,6
94,24,0.0,7
95,24,0.0,1
96,24,0.0,2
97,24,0.0,3
98,24,0.0,4
99,24,0.0,5
100,24,0.0,6
101,24,0.0,7
102,24,0.0,1
103,24,0.0,2
104,24,0.0,3
105,24,0.0,4
106,24,0.0,5
107,24,0.0,6
108,24,0.0,7
109,24,0.0,1
110,24,0.0,2
111,24,0.0,3
112,24,0.0,4
113,24,0.0,5
114,24,0.0,6
115,24,0.0,7
116,24,0.0,1
117,24,0.0,2
118,24,0.0,3
119,24,0.0,4
120,24,0.0,5
121,24,0.0,6
122,24,0.0,7
