,data points,Water flow,Weekday
0,24,4472.0,4
1,24,4644.0,5
2,24,4003.0,6
3,24,3458.0,7
4,24,3391.0,1
5,24,3641.0,2
6,24,5407.0,3
7,24,3801.0,4
8,24,3154.0,5
9,24,3904.0,6
10,24,3378.0,7
11,24,3344.0,1
12,24,3561.0,2
13,24,5183.0,3
14,24,3745.0,4
15,24,3653.0,5
16,24,4154.0,6
17,24,3319.0,7
18,24,3327.0,1
19,24,4076.0,2
20,24,5943.0,3
21,24,5255.0,4
22,24,5035.0,5
23,24,5042.0,6
24,24,3408.0,7
25,24,3294.0,1
26,24,11773.99,2
27,24,0.0,3
28,24,0.0,4
29,24,0.0,5
30,24,0.0,6
31,24,0.0,7
32,24,0.0,1
33,24,0.0,2
34,24,0.0,3
35,24,0.0,4
36,24,131099.85000000003,5
37,24,209759.75999999995,6
38,24,209759.75999999995,7
39,24,209759.75999999995,1
40,24,209759.75999999995,2
41,24,209759.75999999995,3
42,24,209759.75999999995,4
43,24,209759.75999999995,5
44,24,209759.75999999995,6
45,24,209759.75999999995,7
46,24,209759.75999999995,1
47,24,209759.75999999995,2
48,24,209759.75999999995,3
49,24,209759.75999999995,4
50,24,209759.75999999995,5
51,24,209759.75999999995,6
52,24,209759.75999999995,7
53,24,209759.75999999995,1
54,24,209759.75999999995,2
55,24,209759.75999999995,3
56,24,209759.75999999995,4
57,24,209759.75999999995,5
58,24,209759.75999999995,6
59,24,209759.75999999995,7
60,24,209759.75999999995,1
61,24,209759.75999999995,2
62,24,209759.75999999995,3
63,24,209759.75999999995,4
64,24,209759.75999999995,5
65,24,209759.75999999995,6
66,24,209759.75999999995,7
67,24,209759.75999999995,1
68,24,209759.75999999995,2
69,24,209759.75999999995,3
70,24,209759.75999999995,4
71,24,209759.75999999995,5
72,24,209759.75999999995,6
73,24,209759.75999999995,7
74,24,209759.75999999995,1
75,24,209759.75999999995,2
76,24,209759.75999999995,3
77,24,209759.75999999995,4
78,24,209759.75999999995,5
79,24,209759.75999999995,6
80,24,209759.75999999995,7
81,24,209759.75999999995,1
82,24,209759.75999999995,2
83,24,209759.75999999995,3
84,24,209759.75999999995,4
85,24,209759.75999999995,5
86,24,209759.75999999995,6
87,24,209759.75999999995,7
88,24,209759.75999999995,1
89,24,209759.75999999995,2
90,24,209759.75999999995,3
91,24,209759.75999999995,4
92,24,209759.75999999995,5
93,24,209759.75999999995,6
94,24,209759.75999999995,7
95,24,209759.75999999995,1
96,24,209759.75999999995,2
97,24,209759.75999999995,3
98,24,209759.75999999995,4
99,24,209759.75999999995,5
100,24,209759.75999999995,6
101,24,209759.75999999995,7
102,24,209759.75999999995,1
103,24,209759.75999999995,2
104,24,209759.75999999995,3
105,24,209759.75999999995,4
106,24,209759.75999999995,5
107,24,209759.75999999995,6
108,24,209759.75999999995,7
109,24,209759.75999999995,1
110,24,209759.75999999995,2
111,24,209759.75999999995,3
112,24,209759.75999999995,4
113,24,209759.75999999995,5
114,24,209759.75999999995,6
115,24,209759.75999999995,7
116,24,209759.75999999995,1
117,24,209759.75999999995,2
118,24,209759.75999999995,3
119,24,209759.75999999995,4
120,24,209759.75999999995,5
121,24,209759.75999999995,6
122,24,209759.75999999995,7
