,data points,Water flow,Weekday
0,24,2856.0,4
1,24,2998.0,5
2,24,3729.0,6
3,24,2786.0,7
4,24,2803.0,1
5,24,3908.0,2
6,24,5696.0,3
7,24,4969.0,4
8,24,3333.0,5
9,24,3471.0,6
10,24,4500.0,7
11,24,3457.0,1
12,24,3191.0,2
13,24,2824.0,3
14,24,3147.0,4
15,24,4667.0,5
16,24,4642.0,6
17,24,3902.0,7
18,24,3878.0,1
19,24,4026.0,2
20,24,4182.0,3
21,24,4505.0,4
22,24,4552.0,5
23,24,4565.0,6
24,24,4277.0,7
25,24,4352.0,1
26,24,5594.0,2
27,24,5738.0,3
28,24,6455.0,4
29,24,4241.0,5
30,24,15403.5,6
31,24,28331.0,7
32,24,28188.0,1
33,24,28242.0,2
34,24,28704.0,3
35,24,28928.0,4
36,24,30305.0,5
37,24,29965.0,6
38,24,30091.0,7
39,24,29296.0,1
40,24,12937.0,2
41,24,5138.0,3
42,24,3788.0,4
43,24,4027.0,5
44,24,11925.0,6
45,24,16023.0,7
46,24,12855.0,1
47,24,11780.0,2
48,24,15966.0,3
49,24,12402.0,4
50,24,10350.0,5
51,24,12545.0,6
52,24,7220.0,7
53,24,5456.0,1
54,24,6639.0,2
55,24,9793.0,3
56,24,19185.0,4
57,24,11787.0,5
58,24,9393.5,6
59,24,7126.0,7
60,24,4554.0,1
61,24,10213.0,2
62,24,17677.0,3
63,24,10876.0,4
64,24,19187.0,5
65,24,14148.0,6
66,24,20204.0,7
67,24,22463.0,1
68,24,26817.0,2
69,24,28959.0,3
70,24,19007.0,4
71,24,12125.0,5
72,24,3861.0,6
73,24,3836.0,7
74,24,4025.0,1
75,24,4827.0,2
76,24,4841.5,3
77,24,4392.0,4
78,24,4725.0,5
79,24,5443.0,6
80,24,4682.0,7
81,24,3765.0,1
82,24,3768.0,2
83,24,5246.0,3
84,24,5322.0,4
85,24,7336.0,5
86,24,5526.0,6
87,24,4613.0,7
88,24,3995.0,1
89,24,5521.0,2
90,24,7007.0,3
91,24,7875.0,4
92,24,6031.0,5
93,24,6953.0,6
94,24,6187.0,7
95,24,5921.0,1
96,24,6249.0,2
97,24,7137.5,3
98,24,8395.0,4
99,24,6296.0,5
100,24,6854.0,6
101,24,7131.0,7
102,24,7748.0,1
103,24,9909.0,2
104,24,8595.0,3
105,24,10602.5,4
106,24,10278.0,5
107,24,8203.0,6
108,24,7398.0,7
109,24,6098.0,1
110,24,4333.0,2
111,24,9130.0,3
112,24,7924.0,4
113,24,7484.0,5
114,24,7309.0,6
115,24,6083.0,7
116,24,3839.0,1
117,24,4780.0,2
118,24,8773.0,3
119,24,9058.0,4
120,24,7966.0,5
121,24,7785.0,6
122,24,7622.0,7
