,data points,Water flow,Day Number,Hour Number,Weekday
0,1,395.0,4,1,1
1,1,162.0,4,2,1
2,1,117.0,4,3,1
3,1,132.0,4,4,1
4,1,373.0,4,5,1
5,0,305.0,4,6,1
6,1,237.0,4,7,1
7,1,252.0,4,8,1
8,1,439.0,4,9,1
9,1,694.0,4,10,1
10,1,425.0,4,11,1
11,1,342.0,4,12,1
12,1,581.0,4,13,1
13,1,992.0,4,14,1
14,1,925.0,4,15,1
15,1,849.0,4,16,1
16,1,880.0,4,17,1
17,1,709.0,4,18,1
18,1,402.0,4,19,1
19,1,791.0,4,20,1
20,1,1135.0,4,21,1
21,1,724.0,4,22,1
22,1,650.0,4,23,1
23,1,641.0,4,24,1
24,1,941.0,5,1,1
25,1,857.0,5,2,1
26,1,619.0,5,3,1
27,1,589.0,5,4,1
28,1,732.0,5,5,1
29,1,977.0,5,6,1
30,1,589.0,5,7,1
31,1,199.0,5,8,1
32,1,582.0,5,9,1
33,1,590.0,5,10,1
34,1,342.0,5,11,1
35,1,462.0,5,12,1
36,1,402.0,5,13,1
37,1,791.0,5,14,1
38,1,783.0,5,15,1
39,1,687.0,5,16,1
40,1,642.0,5,17,1
41,1,799.0,5,18,1
42,1,1315.0,5,19,1
43,1,1172.0,5,20,1
44,1,552.0,5,21,1
45,1,237.0,5,22,1
46,1,192.0,5,23,1
47,1,251.0,5,24,1
48,1,506.0,6,1,1
49,1,260.0,6,2,1
50,1,155.0,6,3,1
51,1,140.0,6,4,1
52,1,222.0,6,5,1
53,1,560.0,6,6,1
54,1,403.0,6,7,1
55,1,207.0,6,8,1
56,1,373.0,6,9,1
57,1,768.0,6,10,1
58,1,440.0,6,11,1
59,1,208.0,6,12,1
60,1,342.0,6,13,1
61,1,858.0,6,14,1
62,1,544.0,6,15,1
63,1,387.0,6,16,1
64,1,492.0,6,17,1
65,1,695.0,6,18,1
66,1,342.0,6,19,1
67,1,320.0,6,20,1
68,1,319.0,6,21,1
69,1,522.0,6,22,1
70,1,184.0,6,23,1
71,1,140.0,6,24,1
72,1,124.0,7,1,0
73,1,311.0,7,2,0
74,1,499.0,7,3,0
75,1,177.0,7,4,0
76,1,140.0,7,5,0
77,1,132.0,7,6,0
78,1,230.0,7,7,0
79,1,440.0,7,8,0
80,1,297.0,7,9,0
81,1,395.0,7,10,0
82,1,297.0,7,11,0
83,1,410.0,7,12,0
84,1,334.0,7,13,0
85,1,724.0,7,14,0
86,1,747.0,7,15,0
87,1,724.0,7,16,0
88,1,716.0,7,17,0
89,1,500.0,7,18,0
90,1,311.0,7,19,0
91,1,597.0,7,20,0
92,1,604.0,7,21,0
93,1,463.0,7,22,0
94,1,169.0,7,23,0
95,1,155.0,7,24,0
96,1,148.0,1,1,0
97,1,379.0,1,2,0
98,1,440.0,1,3,0
99,1,154.0,1,4,0
100,1,116.0,1,5,0
101,1,102.0,1,6,0
102,1,200.0,1,7,0
103,1,492.0,1,8,0
104,1,147.0,1,9,0
105,1,50.0,1,10,0
106,1,199.0,1,11,0
107,1,589.0,1,12,0
108,1,672.0,1,13,0
109,1,424.0,1,14,0
110,1,349.0,1,15,0
111,1,649.0,1,16,0
112,1,679.0,1,17,0
113,1,432.0,1,18,0
114,1,424.0,1,19,0
115,1,372.0,1,20,0
116,1,410.0,1,21,0
117,1,597.0,1,22,0
118,1,656.0,1,23,0
119,1,477.0,1,24,0
120,1,349.0,2,1,1
121,1,169.0,2,2,1
122,1,148.0,2,3,1
123,1,125.0,2,4,1
124,1,463.0,2,5,1
125,1,470.0,2,6,1
126,1,222.0,2,7,1
127,1,312.0,2,8,1
128,1,499.0,2,9,1
129,1,850.0,2,10,1
130,1,656.0,2,11,1
131,1,790.0,2,12,1
132,1,835.0,2,13,1
133,1,1016.0,2,14,1
134,1,1015.0,2,15,1
135,1,993.0,2,16,1
136,1,956.0,2,17,1
137,1,941.0,2,18,1
138,1,992.0,2,19,1
