,data points,Water flow,Day Number,Hour Number,Weekday
0,1,380.0,4,1,1
1,1,449.0,4,2,1
2,1,605.0,4,3,1
3,1,494.0,4,4,1
4,1,437.0,4,5,1
5,0,372.0,4,6,1
6,1,307.0,4,7,1
7,1,340.0,4,8,1
8,1,547.0,4,9,1
9,1,491.0,4,10,1
10,1,378.0,4,11,1
11,1,377.0,4,12,1
12,1,542.0,4,13,1
13,1,630.0,4,14,1
14,1,639.0,4,15,1
15,1,437.0,4,16,1
16,1,480.0,4,17,1
17,1,424.0,4,18,1
18,1,377.0,4,19,1
19,1,373.0,4,20,1
20,1,501.0,4,21,1
21,1,494.0,4,22,1
22,1,580.0,4,23,1
23,1,416.0,4,24,1
24,1,362.0,5,1,1
25,1,363.0,5,2,1
26,1,378.0,5,3,1
27,1,411.0,5,4,1
28,1,421.0,5,5,1
29,1,270.0,5,6,1
30,1,383.0,5,7,1
31,1,435.0,5,8,1
32,1,365.0,5,9,1
33,1,346.0,5,10,1
34,1,373.0,5,11,1
35,1,400.0,5,12,1
36,1,558.0,5,13,1
37,1,616.0,5,14,1
38,1,591.0,5,15,1
39,1,526.0,5,16,1
40,1,451.0,5,17,1
41,1,463.0,5,18,1
42,1,534.0,5,19,1
43,1,518.0,5,20,1
44,1,383.0,5,21,1
45,1,350.0,5,22,1
46,1,585.0,5,23,1
47,1,450.0,5,24,1
48,1,340.0,6,1,1
49,1,335.0,6,2,1
50,1,322.0,6,3,1
51,1,363.0,6,4,1
52,1,373.0,6,5,1
53,1,288.0,6,6,1
54,1,279.0,6,7,1
55,1,274.0,6,8,1
56,1,455.0,6,9,1
57,1,450.0,6,10,1
58,1,333.0,6,11,1
59,1,334.0,6,12,1
60,1,324.0,6,13,1
61,1,365.0,6,14,1
62,1,529.0,6,15,1
63,1,541.0,6,16,1
64,1,410.0,6,17,1
65,1,342.0,6,18,1
66,1,302.0,6,19,1
67,1,266.0,6,20,1
68,1,273.0,6,21,1
69,1,273.0,6,22,1
70,1,333.0,6,23,1
71,1,323.0,6,24,1
72,1,320.0,7,1,0
73,1,326.0,7,2,0
74,1,366.0,7,3,0
75,1,422.0,7,4,0
76,1,383.0,7,5,0
77,1,312.0,7,6,0
78,1,506.0,7,7,0
79,1,458.0,7,8,0
80,1,346.0,7,9,0
81,1,312.0,7,10,0
82,1,289.0,7,11,0
83,1,327.0,7,12,0
84,1,510.0,7,13,0
85,1,610.0,7,14,0
86,1,620.0,7,15,0
87,1,580.0,7,16,0
88,1,500.0,7,17,0
89,1,453.0,7,18,0
90,1,549.0,7,19,0
91,1,513.0,7,20,0
92,1,416.0,7,21,0
93,1,403.0,7,22,0
94,1,583.0,7,23,0
95,1,461.0,7,24,0
96,1,368.0,1,1,0
97,1,383.0,1,2,0
98,1,372.0,1,3,0
99,1,407.0,1,4,0
100,1,408.0,1,5,0
101,1,289.0,1,6,0
102,1,268.0,1,7,0
103,1,264.0,1,8,0
104,1,276.0,1,9,0
105,1,357.0,1,10,0
106,1,543.0,1,11,0
107,1,580.0,1,12,0
108,1,493.0,1,13,0
109,1,494.0,1,14,0
110,1,615.0,1,15,0
111,1,429.0,1,16,0
112,1,472.0,1,17,0
113,1,577.0,1,18,0
114,1,536.0,1,19,0
115,1,480.0,1,20,0
116,1,496.0,1,21,0
117,1,498.0,1,22,0
118,1,392.0,1,23,0
119,1,377.0,1,24,0
120,1,360.0,2,1,1
121,1,339.0,2,2,1
122,1,338.0,2,3,1
123,1,370.0,2,4,1
124,1,419.0,2,5,1
125,1,329.0,2,6,1
126,1,384.0,2,7,1
127,1,529.0,2,8,1
128,1,575.0,2,9,1
129,1,453.0,2,10,1
130,1,400.0,2,11,1
131,1,486.0,2,12,1
132,1,618.0,2,13,1
133,1,446.0,2,14,1
134,1,470.0,2,15,1
135,1,545.0,2,16,1
136,1,548.0,2,17,1
137,1,525.0,2,18,1
138,1,535.0,2,19,1
139,1,512.0,2,20,1
140,1,495.0,2,21,1
141,1,505.0,2,22,1
142,1,550.0,2,23,1
143,1,465.0,2,24,1
144,1,404.0,3,1,1
145,1,389.0,3,2,1
146,1,371.0,3,3,1
147,1,412.0,3,4,1
148,1,420.0,3,5,1
149,1,285.0,3,6,1
150,1,367.0,3,7,1
151,1,439.0,3,8,1
152,1,374.0,3,9,1
153,1,373.0,3,10,1
154,1,420.0,3,11,1
155,1,475.0,3,12,1
156,1,618.0,3,13,1
157,1,644.0,3,14,1
158,1,517.0,3,15,1
159,1,427.0,3,16,1
160,1,471.0,3,17,1
161,1,580.0,3,18,1
